ID,Edad,Sexo,NED,NumBancos,NumFinanc,TDSR,C6M,AumDeu,PI,Cont,Vigen,Ingreso,Default
221,56,M,ST,0,2,3.77,1C,0.0739,0,244294,500885.4366,145701.2067,B
222,34,M,SNT,4,2,12.47,1A,-0.0609,0,642761,993655.7475,19883.65015,M
223,43,F,TT,3,3,8.45,1C,0.1425,0,392345,899555.4254,158361.7701,B
224,60,M,SNT,4,2,12.19,1C,0.1467,1,21181,567427.9518,90965.38898,B
225,30,F,SNT,1,0,174.28,1C,0.2413,0,107144,480760.5644,24361.27089,M
226,42,M,ST,2,2,5.33,1A,0.0662,0,26861,609911.3595,31476.18004,B
227,39,F,PNT,4,0,181.89,5,0.031,0,194463,403355.5323,18883.21265,M
228,30,F,TNT,1,1,13.1,4,-0.0168,0,30803,381240.4754,47786.78603,M
229,46,M,PNT,2,1,138.14,1C,0.0166,0,573592,950131.3466,28982.51276,M
230,32,M,TT,0,0,12.27,1C,0.2534,0,26752,283584.2,59873.80513,B
231,54,M,ST,2,0,37.26,1C,0.0951,0,311893,105493.3711,55278.18602,B
232,44,M,TT,1,3,32.67,1C,-0.0912,0,213621,313128.9194,55878.32262,B
233,53,M,SNT,4,2,50.73,1A,0.1501,0,227375,186808.355,40739.98719,B
234,59,M,PT,2,0,12.01,1C,0.1356,0,34975,550102.8576,49717.94015,B
235,52,M,TT,0,1,133.23,4,0.0445,0,287308,140319.6287,177948.9875,M
236,46,F,ST,2,1,15.88,3,-0.1705,0,264482,23031.37727,39910.25478,B
237,50,F,SNT,1,0,14.38,1C,0.2122,0,62770,99614.66189,44905.24027,B
238,42,F,ST,0,0,46.88,4,0.1435,0,253579,154187.7285,97483.71162,M
239,36,F,ST,2,1,52.4,3,0.2339,0,543132,470220.9564,32831.51685,M
240,42,M,SNT,3,2,12.79,1C,-0.0828,1,110637,294917.4723,26428.40439,B
241,40,M,TT,3,1,43.93,5,0.1074,1,512287,72776.00566,45167.6329,B
242,39,M,TNT,0,0,44.71,4,0.1394,0,3012,814907.801,37211.96178,M
243,29,M,PT,2,0,14.1,3,-0.0425,0,145800,304805.5294,21565.64522,M
244,45,M,TT,1,1,4.23,1C,0.0317,0,301829,35961.04113,42489.57559,B
245,47,M,SNT,3,0,14.79,1C,0.0443,0,180429,595533.7038,33674.90183,B
246,44,M,TT,3,2,57.19,3,0.1059,0,72340,141249.0769,69745.93469,B
247,38,M,ST,2,3,8.97,1C,-0.1252,0,142737,359185.8432,39051.87921,B
248,30,M,TNT,1,0,15.14,1C,-0.0816,0,164153,42794.78441,37375.33531,B
249,55,F,TT,1,3,46.13,1C,-0.0347,1,138001,150091.2187,109999.8076,B
250,41,M,ST,1,1,6.41,2B,0.0399,1,434327,22516.91334,32776.23644,B
251,43,M,TNT,1,0,8.05,1C,0.0191,1,10181,56251.90398,54944.40115,B
252,46,M,TT,2,0,9.95,3,0.0101,0,10498,133980.0418,63742.48981,B
253,51,M,ST,1,0,22.42,1C,0.1533,0,45485,102789.88,91970.99367,B
254,41,M,TNT,2,0,7.45,2B,-0.0653,0,54935,822829.4935,50932.31041,B
255,48,M,TNT,2,3,6.78,4,-0.0048,0,169917,397497.9223,67487.44714,M
256,51,M,SNT,0,1,27.87,1C,-0.0379,0,172578,657336.8021,69278.44428,B
257,47,M,TT,2,1,25.15,1C,0.1496,0,149693,349868.4134,123573.0105,B
258,24,M,TNT,0,1,33.01,1C,-0.0233,0,8485,123811.7212,42988.73163,B
259,43,M,SNT,0,0,12.88,4,0.0946,0,84424,572815.4086,25591.39808,M
260,55,M,TNT,4,0,23.26,1C,0.1215,0,127683,414560.6626,100636.1201,B
261,38,M,SNT,2,0,23.56,1C,0.1312,0,263341,559817.1069,45822.68322,B
262,29,M,SNT,1,0,35.93,4,0.0549,0,121365,266245.3835,23668.16952,M
263,32,M,TNT,2,1,22.13,4,-0.0654,0,222529,51929.07163,57676.86777,M
264,50,F,TT,4,1,15.08,2A,0.0273,0,309837,700443.9915,68728.20626,B
265,53,M,SNT,2,0,8.4,1C,-0.0862,0,1596,74296.94642,56511.33726,B
266,39,F,ST,2,0,9.64,2A,-0.0599,0,141549,416068.0105,45782.60037,B
267,58,M,TNT,2,2,27.09,3,-0.1879,0,766430,466509.3429,130437.9822,B
268,52,M,TNT,0,1,31.94,1C,-0.0597,0,105163,582471.7322,145446.998,B
269,47,F,ST,2,3,17.08,1C,0.0201,1,383150,99998.85616,31943.97384,B
270,43,M,ST,2,3,8.63,1C,0.1123,0,407239,320839.0609,25936.26216,M
271,43,M,TNT,0,1,15.25,1C,0.1251,0,543825,313236.1324,160558.3775,B
272,52,M,TT,0,2,5.25,3,0.0182,0,552417,178626.4062,243720.0817,M
273,40,M,TNT,1,1,9.21,1C,0.0874,0,129819,264841.593,53857.62398,B
274,39,M,SNT,2,1,8.61,5,0.1375,0,239972,165698.9632,37065.53654,M
275,40,M,ST,3,2,29.5,1C,0.0326,1,277557,231706.3165,36645.57101,B
276,49,M,ST,2,3,8.67,2B,0.0812,0,115346,45903.72327,73276.58768,M
277,46,M,TNT,2,1,4.98,5,-0.0324,0,305539,307683.114,108557.1818,M
278,52,F,TT,2,1,14.52,1C,-0.0982,0,360823,749519.9529,123192.6951,B
279,46,F,TNT,2,2,18.59,2B,0.1608,0,188760,436062.626,116613.0986,B
280,42,F,TT,2,1,23.73,3,0.1339,0,194718,14550.52742,49536.19075,B
281,41,M,ST,0,0,20.07,3,0.0093,0,25630,180402.1943,144181.2095,B
282,33,F,SNT,1,0,20.31,1C,0.1706,0,600230,124459.4803,26676.303,M
283,36,F,PNT,0,1,10.87,3,0.1137,0,508851,20985.6569,18051.58898,M
284,42,F,ST,2,0,15.51,1C,0.1267,0,197727,96864.37996,72965.07154,B
285,41,F,TT,2,0,88.47,5,0.1906,0,63763,78108.52166,172063.5895,M
286,39,M,SNT,2,1,3.69,4,0.1991,0,176214,612333.1492,25983.47435,M
287,50,M,ST,2,0,88.16,1C,0.0034,0,639925,154585.9458,64357.75588,M
288,47,M,TNT,1,1,46.72,4,0.0631,0,24821,448571.477,177755.0999,M
289,34,M,TNT,0,0,10.58,1A,-0.1062,0,53815,61476.71169,33505.42148,B
290,33,M,TNT,0,0,28.7,2B,-0.0194,1,49384,285560.75,28066.0771,B
291,41,M,SNT,1,0,9.46,1C,0.2424,0,442807,429589.6021,30311.80063,B
292,44,M,TNT,1,0,17.86,1C,0.1803,0,294588,742353.5097,85545.62022,B
293,40,F,TNT,1,0,37.1,1C,0.1319,0,212527,356559.5957,54451.78837,B
294,53,M,TNT,2,1,30.94,4,0.185,0,58251,180091.0788,76250.58563,M
295,37,M,TNT,2,0,18.89,5,0.1537,0,35315,28619.02319,59849.56341,M
296,62,M,TNT,2,2,20.98,1C,0.0524,0,558625,283533.124,238323.6604,B
297,41,M,TT,2,2,22.72,5,0.0892,0,703854,157178.0039,77154.75342,M
298,47,M,SNT,0,0,210,1C,0.1089,0,215348,126051.5716,37658.87794,M
299,53,M,ST,0,0,23.55,1C,0.1299,0,182451,934.3999319,45991.99496,B
300,42,M,TNT,1,0,39.28,2B,0.0636,0,59906,277157.1,52936.64654,B
301,56,M,ST,4,0,30.91,1C,0.2248,0,123748,857820.8453,103777.1457,B
302,29,M,PT,2,1,3.28,5,0.0426,0,274697,228364.5639,26858.82083,M
303,43,M,TT,2,2,36.02,1C,0.01,0,236793,478481.0768,75130.5153,B
304,37,M,PNT,3,2,8.42,1C,0.0884,0,442233,661929.9093,16887.49518,M
305,32,M,SNT,2,3,14.43,2A,0.0044,0,322596,91268.95353,30458.00656,M
306,33,M,SNT,2,2,5.38,2B,0.2381,0,592160,843009.5315,43413.07211,B
307,48,M,TNT,0,0,61.33,4,0.1177,0,173160,646276.1649,113288.0463,M
308,24,M,TT,0,2,68.28,1C,-0.0948,0,507639,156271.7466,44992.11613,B
309,46,M,ST,4,0,2.78,1C,0.0372,0,494615,475098.3121,41858.46443,B
310,44,M,ST,0,3,15.59,5,-0.1894,0,203421,348509.2317,49677.01641,M
311,56,F,SNT,2,0,6.13,1A,-0.0436,0,63696,517899.4895,33213.66897,B
312,36,F,ST,0,2,27.12,3,-0.0404,0,192886,104303.3088,52018.69982,M
